"
Date","American Express (AXP)
","Amgen Inc (AMGN)
","Apple Inc (AAPL)
","Boeing Co (BA)
","Caterpillar Inc (CAT)
","Cisco Systems Inc (CSCO)
","(CVX)
","(GS)
","Home Depot Inc (HD)
","Honeywell International Inc (HON)
","IBM Corp  (IBM)
","Intel Corp (INTC)
","Johnson & Johnson (JNJ)
","Coca-Cola Co (KO)
","JPMorgan Chase & Co (JPM)
","McDonald\'s Corp (MCD)
","3M Co (MMM)
","Merck & Co inc (MRK)
","Microsoft (MSFT)
","Nike Inc (NKE)
","Procter & Gamble Co (PG)
","TRV
","UnitedHealth Group (UNH)
","Salesforce Inc (CRM)
","Verizon Communications Inc (VZ)
","Visa Inc (V)
","Walgreens Boots Alliance Inc (WBA)
","Walmart Inc (WMT)
","Walt Disney Co (DIS)
"
2014-01-14,75.502693,89.460304,17.107702,119.662537,68.641045,16.522635,78.584770,146.532272,64.323891,69.396202,116.816368,19.978251,72.149963,28.895405,43.961151,73.106728,99.088600,37.162247,30.128780,33.667015,60.655499,69.433281,63.527809,57.509998,29.389252,51.905224,43.366787,63.010838,68.294952
2014-01-15,76.481995,90.060623,17.451172,120.183884,70.043266,16.795435,78.328461,148.316177,64.371513,69.799934,117.959908,20.098833,72.210892,28.946363,45.293522,73.290993,99.831345,36.825703,30.953989,33.783466,60.595482,69.774719,64.231583,59.720001,30.132095,52.163986,42.998173,62.768353,68.139008
2014-01-16,76.074677,90.455803,17.353796,119.833519,70.195854,16.795435,78.098427,145.345703,64.522385,69.908623,118.600807,20.000868,72.089005,28.909977,44.912846,73.751663,99.629425,36.811665,31.063465,33.496807,60.422974,69.266533,62.446430,59.209999,30.294395,51.700077,43.287281,62.040936,68.074814
2014-01-17,78.839294,90.546989,16.928600,120.047142,69.760979,16.765947,78.400734,146.266754,64.315918,69.830971,119.436485,19.480864,72.408943,28.596903,44.242847,72.884056,99.016472,36.426022,30.634020,32.869781,59.912949,68.655197,62.240440,59.860001,30.182041,54.126896,42.759659,61.580231,67.863823
2014-01-21,78.509956,90.623016,17.191610,121.081299,69.120155,16.832304,79.103981,143.711166,63.887165,70.327835,118.393463,19.284929,71.624367,29.062849,44.288532,72.999245,98.785736,36.341885,30.457186,33.031021,60.137981,67.488052,62.789722,60.950001,29.776283,54.068615,42.448856,61.297348,68.065620
2014-01-22,78.977943,94.513863,17.268007,123.388908,68.387756,16.839668,79.149986,144.109406,63.680679,70.715996,114.510468,19.073921,71.845230,29.048288,43.846947,72.845695,98.417915,36.005329,30.255093,32.919037,59.874985,67.138710,62.995720,61.139999,29.545313,54.315731,42.578957,60.901306,69.083862
2014-01-23,77.279305,93.928749,17.414227,120.773598,67.502769,16.633230,77.809250,141.678253,63.712494,69.714546,114.812080,18.938269,70.641754,28.567785,42.994213,73.183533,97.141586,36.180611,30.364552,32.574196,59.126842,65.955666,62.824047,60.080002,29.876148,53.210716,42.174187,60.586098,68.606865
2014-01-24,75.355347,90.653397,17.097677,116.790833,65.740402,16.367804,76.429054,139.097778,62.854927,68.682037,112.870560,18.697115,69.019287,28.276579,41.943527,72.500175,93.903770,36.447067,30.996098,32.090496,59.837193,64.796463,61.450848,58.400002,29.732580,51.578846,41.364677,60.149624,66.708000
2014-01-27,74.289383,90.068214,17.236380,117.397682,69.646545,16.220352,76.521065,136.650024,62.680225,70.094940,111.777252,18.629292,68.508942,28.196497,41.943527,72.223808,92.995155,36.832706,30.339291,32.202454,59.300648,65.336357,61.493771,57.080002,29.770037,50.406219,41.487564,59.931419,66.276848
2014-01-28,75.086678,91.724915,15.858721,117.166901,70.546783,16.036032,76.790543,137.944412,62.362644,70.219147,111.117569,18.764942,68.630806,28.298420,42.438419,72.308258,93.608093,37.071114,30.541399,32.565231,59.784306,65.979492,61.545269,59.369999,29.564047,51.511242,41.212894,60.351696,66.854759
